MSFT,FB,T,INTC,TSM,ORCL,CHL,VZ,CSCO,IBM,SAP,NVDA,AVGO,VOD.L,MEL.L,MCRO.L,SGE.L,KNM.L,RSW.L,SXS.L,ISAT.L,MONY.L,AVV.L,TALK.L,CCC.L,SYNC.L,IQE.L,HSBA.L,BNC.L,PRU.L,LLOY.L,RBS.L,BARC.L,STAN.L,AV.L,LGEN.L,LSE.L,SDRC.L,III.L,OML.L,HL.L,LAND.L,SMT.L,BLND.L,RSA.L,STJ.L,SGRO.L,ADM.L,DLG.L,INVR.L,CMC.DE,BAC,SHB.L,HICL.L,ICP.L,JLT.L,WFC,BEZ.L,JUP.L,ATST.L,V,IGG.L,ASHM.L,PG,BUD,KO,TM,UN,PEP,PM,BTI,MO,DGE.L,RB.L,CCL.L,ABF.L,MNDI.L,RICO.L,SMDS.L,SKG.L,GKN.L,RPC.L,BC94.L,BD15.L,BOO.L,NESM.DE,FEVR.L,BVIC.L,CINE.L,TCG.L
83.510597,178.770004,,45.75,42.009998,49.400002,51.189999,44.75,33.950001,148.399994,112.370003,212.482376,265.01001,211.429779,187550,2615,745,584882,5150,2493,,324,,191.398911,988,1.56931,,734.099976,494,1858,66.43,274.700012,178.899994,727.900024,490.600006,264.200012,3690,2482,9.265,189.800003,,940.5,4.540616,593,607.5,1128,547,1839,354,538.761536,83.720001,26.287977,983.5,1.49525,929.5,1280,,501.5,582,7.4,111.202965,658.5,360,89,115.916992,46.34008,125.669998,57.110001,113.254295,103.510002,64.709999,65.839996,2580.5,6449,4902.477051,3080,1794,101025,512.5,2238,,898.5,nan,116,191.75,72.800003,1986,764,652,114.699997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.510597,,34.169998,45.75,,49.400002,51.189999,44.75,33.950001,148.399994,112.370003,212.482376,265.01001,,187550,,745,584882,5150,2493,516,324,2503,191.398911,988,1.56931,170,734.099976,494,1858,66.43,274.700012,178.899994,727.900024,,264.200012,3690,2482,9.265,,1562,,,,,1128,547,1839,354,538.761536,83.720001,26.287977,983.5,1.49525,929.5,1280,53.720001,501.5,,7.4,111.202965,,360,89,,46.34008,125.669998,57.110001,113.254295,103.510002,64.709999,65.839996,,6449,4902.477051,3080,1794,101025,512.5,2238,314,,,,191.75,72.800003,,764,652,114.699997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.800003,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.450905,178.460007,34.220001,45.580002,41.720001,49.32,51.59,,33.990002,,112.589996,,264.959991,213.044861,188894,2619,749,589968,5210,2523,,328.5,2570,194.646301,996,1.56738,163,741.299988,492.25,1845.5,66.480003,275.299988,179.149994,,495.700012,265.100006,3720,2520,,,1583,,4.390402,593,610,1146,,,355.700012,538.761536,84.050003,26.397512,986,1.49276,,,53.810001,508,589.5,7.75497,111.682114,,365.200012,88.160004,116.300865,46.161545,124.489998,,111.973183,103.019997,65,65.019997,,6544,4820.224121,3066,,101570,514,,320,921.5,,116,,72.080002,2051,769,642,117.199997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.6698,179.300003,34,46.299999,41.639999,49.240002,,45.07,34.049999,150.300003,112.639999,205.17746,265.640015,217.107056,191500,2635,750,,5145,2539,517,,2567,198.680923,987.5,1.56919,140,,495.5,1838.5,66.68,273.700012,179.449997,732.599976,495.100006,265.700012,3733,2511,6.30516,191.800003,1583,949.5,4.437962,598,612.5,1146,548.5,1854,357.200012,538.761536,83.720001,26.377596,993,1.4947,,1285,,500,585.5,7.82152,111.941658,674,365.5,87.779999,116.340233,45.854065,125.459999,57.330002,110.711929,,64.940002,64.510002,2570.5,6538,4905.450195,,1803,101700,,2283,321.600006,,,116,196,,2060,765.5,645.5,117.099998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.137451,179.559998,33.439999,46.700001,,,,45.459999,34.5,,114.599998,209.014786,272.399994,211.331879,,2658,762.5,615000,5220,2573,,334.200012,,201.731506,993.5,1.5695,140.5,738.099976,495.75,1836.5,66.82,275.799988,179.449997,734,497.100006,268,3770,2524,6.29773,191.199997,1592,953,4.468136,596.5,607.5,1165,,1846,355.799988,538.761536,84.089996,26.676325,,1.49511,945.5,1292,54.259998,,,7.86014,112.271072,675,366.200012,87.580002,116.291023,45.80447,127.980003,57.470001,111.228348,103.089996,,64.589996,2570.5,6530,4874.729004,3105,1845,101600,522,2353,326.5,938,,116,201.75,72.559998,2043,770.5,663,118.300003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.8489,,,,42.509998,50.490002,50.75,45.57,34.400002,149.852188,114.220001,211.882797,271.320007,212.06601,193004,2638,760.5,615000,5250,2591,566.5,334.399994,,201.731506,990.5,1.56881,135.5,,495.5,1846,67.300003,,181.350006,722.900024,500,269.600006,3773,2510,6.29538,190,1590,949,4.477635,595,603.5,1179,547,1845,355.899994,538.761536,86.129997,27.064669,1000,,950,1303,55.049999,503,602,7.84113,,677,367.100006,86.980003,116.792999,45.566422,127.459999,56.849998,109.708893,103.019997,64.889999,64.309998,2561.5,6526,4915.359863,3218,1803,102300,519.5,2326,321.700012,,,107,203.5,72.410004,2253,768.5,654.5,119.699997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.047905,180.169998,32.860001,46.700001,42.43,50.400002,50.66,45.529999,,149.347229,114.989998,209.484467,277.519989,214.219482,191220,2649,764,596206,5285,,588.5,335.799988,2562,205.667725,1000,1.56912,141.75,732.900024,497.25,,,277.399994,182,718.599976,,271,3769,2527,6.2961,192.899994,1576,960,4.484334,,607.5,1182,547,,367,538.761536,,,999.5,1.4944,960,1318,56.18,,600,7.85426,111.722046,,367.600006,86.050003,118.682785,45.100246,125.629997,57.080002,108.507225,102.139999,65.050003,63.450001,2597.5,6546,4931.21582,3343,1835,,527,,323.399994,940,,107,209.5,72.699997,,779,678.5,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.047905,180.169998,32.860001,46.700001,,50.400002,,45.529999,34.41,149.347229,114.989998,209.484467,277.519989,214.219482,,2649,,596206,5285,,588.5,335.799988,,,1000,1.56912,141.75,732.900024,,1856,67.800003,277.399994,,718.599976,507,271,3769,2527,6.2961,192.899994,1576,960,,600.5,607.5,1182,547,1864,367,538.761536,86.879997,27.63225,,1.4944,960,,56.18,502,600,7.85426,111.722046,674,367.600006,86.050003,118.682785,45.100246,125.629997,57.080002,108.507225,102.139999,65.050003,63.450001,,,4931.21582,3343,1835,99200,527,2370,323.399994,940,,107,,,1961,,678.5,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.879997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.699997,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.719551,178.919998,33.299999,46.066998,42.189999,50.18,50.849998,47.419998,34.470001,,114.910004,208.54512,273.630005,214.708893,189607,2669,,595080,5265,2672,594.5,336.200012,2592,205.077286,1015,1.57009,149,,504.5,,67.389999,278.600006,183.25,723.5,509.5,272.799988,3744,2540,9.675,193.399994,1582,958,4.549588,600.5,,1182,548,1866,365.5,533.818726,87.099998,,,1.49589,,1316,56.349998,498.100006,604,7.47,111.16304,670,,86.580002,119.814697,45.59618,125.620003,57.27,109.460609,102.660004,65.349998,,2594,6583,4930.225098,3333,,100900,528,,318.299988,,,107,201,73.07,1962,,683,122.599998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.630005,178.919998,33.169998,46.822521,42.150002,50.279999,50.759998,47.459999,34.209999,151.832397,115.519997,205.797028,259.5,216.61763,189607,2671,745,595080,5115,2604,614.5,,2555,209.505539,,1.5701,153,737.200012,518,1867,,281.799988,185,,515,271.899994,3750,2535,6.30142,194.899994,,960.5,4.442338,600,623,,543,1849,369.100006,533.818726,86.959999,27.751741,,1.49679,966.5,1311,56.48,501.5,600,7.87236,110.783714,654.5,374.299988,86.510002,119.027275,,125.309998,57.139999,109.291786,,64.709999,63.900002,2571.5,6582,4909.414063,3304,1842,100900,524,2381,,934,,,,71.949997,,767.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,182.660004,33.549999,46.434818,42.099998,50.639999,50.77,47.830002,34.619999,,116.269997,,259.290009,214.317352,189560,2664,745.5,584865,5080,,615.5,329.100006,2565,210.391205,988,1.56676,146.5,732.700012,510.5,1849.5,,284.5,184.100006,705,513,269,3747,2516,,191.600006,,952.5,nan,593,,1182,537,1857,371.600006,533.818726,86.800003,27.413183,993,1.49121,966.5,1307,55.82,508.5,598.5,nan,,652,,86.889999,120.218239,45.427559,124.43,57.138,109.371231,103.75,64.790001,,,6576,4918.333008,,,101393,524.5,2308,319.100006,927.5,,,196,72.080002,2025,766,680,119.599998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.764351,180.059998,33.650002,,42.330002,50.900002,50.450001,47.869999,34.150002,152.535355,,206.666412,263.910004,,193921,,745.5,531042,4955,2560,621,324.899994,2523,210.095978,995,1.621,145.5,734.299988,,1852,68.290001,282.5,185.949997,750.400024,505,267,3761,2520,9.61,191,,966,4.422989,601,629,1177,543,1924,371.700012,533.818726,,27.273777,990,,973,1303,55.750484,505.5,594.5,,109.785484,653.5,372.89978,86.339996,120.848167,45.606098,124,57.535065,109.470543,104.639999,64.400002,64.220001,,6735,4916.351074,3332,,104600,,2244,317,942.5,,107,200.5,71.339996,2121,,664.5,119.800003
